ma,threshold,n,mean_60d,median_60d,win_rate
MA120,7.5,1324,0.028288347239992094,0.033820077329056675,0.6518126888217523
MA120,8.0,1194,0.028208484070246714,0.03319844600545441,0.6490787269681743
MA120,8.5,1080,0.028561200398462515,0.03319844600545441,0.6509259259259259
MA120,9.0,969,0.026062401471607453,0.031861629494765564,0.6439628482972136
MA120,9.5,860,0.024888759120086035,0.03076664116659955,0.641860465116279
MA120,10.0,772,0.024644850791681105,0.03138410376592571,0.6476683937823834
MA120,10.5,690,0.022521910445128218,0.02912397550261059,0.6420289855072464
MA120,11.0,619,0.020677224081133105,0.025775410258613185,0.6348949919224556
MA120,11.5,550,0.02112978625190883,0.02527942882903922,0.6381818181818182
MA120,12.0,481,0.02026701283708616,0.02533556362449496,0.632016632016632
MA120,12.5,420,0.020246893448883314,0.025693205500749272,0.6190476190476191
MA120,13.0,364,0.01662988722251886,0.023674882224505645,0.6016483516483516
MA120,13.5,314,0.012233369448801074,0.02341044773484713,0.5796178343949044
MA120,14.0,278,0.00909870887508696,0.018541654064272328,0.564748201438849
MA120,14.5,245,0.006234112896458941,0.017959704622116934,0.5469387755102041
MA120,15.0,214,0.003868290021516515,0.018541654064272328,0.5560747663551402
MA120,15.5,192,0.0008207956006782702,0.01319341036419075,0.5416666666666666
MA120,16.0,169,-0.002504407682329782,0.011556383970177109,0.5384615384615384
MA120,16.5,147,-0.008478002622079218,0.009329145375275516,0.5306122448979592
MA120,17.0,136,-0.013332401081120198,0.00755320222359368,0.5147058823529411
MA120,17.5,122,-0.01709266454360157,-0.008376263922673655,0.4918032786885246
MA120,18.0,105,-0.02704563999825457,-0.025174360677515883,0.45714285714285713
MA120,18.5,95,-0.03162723115655042,-0.02537433874293915,0.4421052631578947
MA120,19.0,86,-0.045755602906368306,-0.054233314057017645,0.38372093023255816
MA120,19.5,75,-0.05995908843919955,-0.08910959855535483,0.32
MA120,20.0,71,-0.06702098121389236,-0.10044851429639323,0.29577464788732394
MA120,20.5,66,-0.07581679215157389,-0.10915816349354351,0.25757575757575757
MA120,21.0,59,-0.08051061105431453,-0.11115649036825259,0.23728813559322035
MA120,21.5,53,-0.0893057531974046,-0.12284946236559136,0.22641509433962265
MA120,22.0,47,-0.09365948798283236,-0.12284946236559136,0.19148936170212766
MA120,22.5,42,-0.10761716474688754,-0.1272942059883257,0.11904761904761904
MA120,23.0,38,-0.11718671552483699,-0.13028950166998066,0.07894736842105263
MA120,23.5,32,-0.11910399546307952,-0.1288796316187379,0.0625
MA120,24.0,27,-0.12113201450831641,-0.12963455149501657,0.07407407407407407
MA120,24.5,22,-0.12619900591981992,-0.13028950166998066,0.09090909090909091
MA120,25.0,18,-0.13132364290308252,-0.13028950166998066,0.05555555555555555
MA120,25.5,15,-0.1431513570879974,-0.13212384145139022,0.0
MA120,26.0,11,-0.1430136558525664,-0.13212384145139022,0.0
MA120,26.5,10,-0.14230244734046357,-0.13153414664816748,0.0
MA120,27.0,8,-0.1402848270621701,-0.13153414664816748,0.0
MA120,27.5,6,-0.14843319600953717,-0.14214744270009133,0.0
MA120,28.0,5,-0.14768562642168612,-0.13212384145139022,0.0
MA120,28.5,2,-0.1637253719582782,-0.1637253719582782,0.0
MA120,29.0,2,-0.1637253719582782,-0.1637253719582782,0.0
MA120,29.5,1,-0.19532690246516615,-0.19532690246516615,0.0
MA120,30.0,1,-0.19532690246516615,-0.19532690246516615,0.0
MA240,0.0,3690,0.015539307201607505,0.023596290387338792,0.6059620596205962
MA240,0.5,3587,0.016351759778517716,0.02402336619204104,0.6088653470867019
MA240,1.0,3472,0.017118081724337462,0.025190980426133103,0.6140552995391705
MA240,1.5,3371,0.017863217525025128,0.02579132473622514,0.6194007712844853
MA240,2.0,3242,0.0190400018153786,0.027354674650238442,0.6236890808143122
MA240,2.5,3123,0.01998908568070003,0.02882311486962652,0.6285622798591098
MA240,3.0,3008,0.020910325304911825,0.03046995701524835,0.633311170212766
MA240,3.5,2872,0.022563884647070986,0.03247793765271201,0.6438022284122563
MA240,4.0,2763,0.022964939264855377,0.03299136467635977,0.6460369163952225
MA240,4.5,2653,0.02354933063216495,0.03389984549668279,0.6505842442517904
MA240,5.0,2542,0.023191434720095595,0.03362853484113826,0.6498819826907947
MA240,5.5,2426,0.02194937882052383,0.032742140932224495,0.6455070074196207
MA240,6.0,2327,0.02112340348313565,0.03201905265943372,0.6403094112591319
MA240,6.5,2214,0.020416286480862505,0.03130664305440811,0.6332429990966576
MA240,7.0,2113,0.019212332752805105,0.030415847148075104,0.6237576904874585
MA240,7.5,2009,0.01843748446155472,0.028826713624209077,0.6197112991538078
MA240,8.0,1895,0.0177191228308785,0.028363984521482477,0.6179419525065963
MA240,8.5,1779,0.01771405766997033,0.028531606132655707,0.6177627880831928
MA240,9.0,1661,0.017109273101377068,0.028244215739379408,0.6146899458157736
MA240,9.5,1548,0.016656841643457706,0.028447795327069092,0.6111111111111112
MA240,10.0,1398,0.014871765485541191,0.025988435477943717,0.6008583690987125
MA240,10.5,1266,0.014749314866502994,0.025655617970994693,0.5932069510268563
MA240,11.0,1166,0.013874867532076715,0.02422391950281777,0.5857632933104632
MA240,11.5,1066,0.013608951185417124,0.023762525130326617,0.5853658536585366
MA240,12.0,971,0.012640197332719944,0.022485827259301594,0.5808444902162719
MA240,12.5,892,0.010765633384192843,0.022010388048809393,0.577354260089686
MA240,13.0,820,0.007667136675699395,0.01861375900901352,0.5695121951219512
MA240,13.5,731,0.002075346137635682,0.013505175841502792,0.5554035567715458
MA240,14.0,669,0.0009278827412603426,0.013049579045837145,0.5530642750373692
MA240,14.5,603,-0.0027466642620664786,0.009329145375275516,0.5439469320066335
MA240,15.0,550,-0.002410514813142822,0.009081208683221154,0.5436363636363636
MA240,15.5,505,-0.0045031872154811785,0.009329145375275516,0.5386138613861386
MA240,16.0,459,-0.006166815938875164,0.009329145375275516,0.5381263616557734
MA240,16.5,421,-0.007820734864132282,0.008833271991166791,0.5391923990498813
MA240,17.0,378,-0.00923327238786547,0.009081208683221154,0.5396825396825397
MA240,17.5,351,-0.014658137679034478,0.0063278220044906686,0.5242165242165242
MA240,18.0,336,-0.016809264701064527,0.005597464521942874,0.5208333333333334
MA240,18.5,313,-0.017830751680067425,0.0063278220044906686,0.5271565495207667
MA240,19.0,295,-0.020476271005239067,0.006124636349716495,0.5254237288135594
MA240,19.5,274,-0.02250636730991983,0.0037121299715586753,0.5182481751824818
MA240,20.0,251,-0.024742039731503455,0.0021588946459412117,0.50199203187251
MA240,20.5,238,-0.027055880439038914,-0.003085176156213676,0.49159663865546216
MA240,21.0,208,-0.031651093285560254,-0.0017907169091002095,0.4951923076923077
MA240,21.5,188,-0.037021712875630386,-0.0071993940937953305,0.4787234042553192
MA240,22.0,167,-0.04891441088339454,-0.02695934001178546,0.437125748502994
MA240,22.5,135,-0.06896139155318601,-0.05590062111801253,0.34814814814814815
MA240,23.0,124,-0.08043654523409158,-0.08338748607500929,0.29838709677419356
MA240,23.5,109,-0.08862594473777313,-0.10882997807454653,0.24770642201834864
MA240,24.0,95,-0.1081185436709413,-0.12329885683179098,0.1368421052631579
MA240,24.5,90,-0.11318472778429296,-0.12517695347189106,0.1111111111111111
MA240,25.0,87,-0.11248468789178453,-0.12389020670958995,0.10344827586206896
MA240,25.5,76,-0.12086992295433473,-0.12823366033709088,0.06578947368421052
MA240,26.0,67,-0.12820685329270676,-0.13094445184494474,0.029850746268656716
MA240,26.5,63,-0.13450710451479467,-0.1319137168141592,0.0
MA240,27.0,58,-0.13329965263018337,-0.13142908432955197,0.0
MA240,27.5,51,-0.13686332394668738,-0.13212384145139022,0.0
MA240,28.0,49,-0.13655411827127506,-0.13212384145139022,0.0
MA240,28.5,44,-0.13395757201644903,-0.13521304995745104,0.0
MA240,29.0,41,-0.13223021023461246,-0.13830225846351185,0.0
MA240,29.5,38,-0.13784643628994223,-0.13884021708081362,0.0
MA240,30.0,33,-0.1318717846236906,-0.13830225846351185,0.0
MA240,30.5,28,-0.1273660319145197,-0.13028950166998066,0.0
MA240,31.0,26,-0.1277104470674742,-0.13153414664816748,0.0
MA240,31.5,24,-0.1258180165418181,-0.13153414664816748,0.0
MA240,32.0,21,-0.130212832213407,-0.13830225846351185,0.0
MA240,32.5,20,-0.13070948781009134,-0.13860646290329587,0.0
MA240,33.0,20,-0.13070948781009134,-0.13860646290329587,0.0
MA240,33.5,18,-0.13497221709746743,-0.14451820415833716,0.0
MA240,34.0,17,-0.1338323657056195,-0.13891066734307989,0.0
MA240,34.5,17,-0.1338323657056195,-0.13891066734307989,0.0
MA240,35.0,15,-0.13480541934092902,-0.13891066734307989,0.0
MA240,35.5,15,-0.13480541934092902,-0.13891066734307989,0.0
MA240,36.0,13,-0.13925530035493708,-0.15012574097359443,0.0
MA240,36.5,12,-0.1401828494059769,-0.15114839246119344,0.0
MA240,37.0,8,-0.14778140616668,-0.1559621300080008,0.0
MA240,37.5,6,-0.15565349828569433,-0.1559621300080008,0.0
MA240,38.0,5,-0.16569764177340413,-0.15975321606720916,0.0
MA240,38.5,5,-0.16569764177340413,-0.15975321606720916,0.0
MA240,39.0,4,-0.16959061697335656,-0.16543226073973383,0.0
MA240,39.5,4,-0.16959061697335656,-0.16543226073973383,0.0
