date,price,ma20,margin_amount_100m,margin_pct,zone,hot,low_or_depressed,below_ma20_3w,above_ma20,reentry_armed,position,shares,cash,equity,event
2019-01-13,116.93609952860015,122.8332412366153,1245.25973,0.019230769230769232,depressed,False,True,True,False,True,CASH,0.0,3574700.204630935,3574700.204630935,
2019-01-20,117.63306965824081,121.9813888559434,1230.9081,0.009615384615384616,depressed,False,True,True,False,True,CASH,0.0,3574700.204630935,3574700.204630935,
2019-01-27,119.76238750563955,121.27859498667502,1209.76403,0.009615384615384616,depressed,False,True,True,False,True,CASH,0.0,3574700.204630935,3574700.204630935,
2019-02-03,118.724446813924,120.51615997026927,1180.39417,0.009615384615384616,depressed,False,True,True,False,True,CASH,0.0,3574700.204630935,3574700.204630935,
2019-02-17,119.84222909730998,119.78250967410239,1201.89658,0.019230769230769232,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3574700.204630935,BUY_LOW_OR_DEPRESSED_AND_ABOVE_MA20
2019-02-24,122.8762095807862,119.1966863458335,1219.52954,0.038461538461538464,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3665198.943988681,
2019-03-03,123.99399186417216,118.93392401476285,1212.59651,0.038461538461538464,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3698540.584804692,
2019-03-10,121.35921933904808,118.80272288418914,1236.01778,0.0673076923076923,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3619949.5743098077,
2019-03-17,123.91415027250171,118.85734914442483,1264.37104,0.15384615384615385,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3696159.039032119,
2019-03-24,126.70860598096664,119.35371857959471,1282.5396,0.17307692307692307,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3779513.1410721475,
2019-03-31,126.38923961428496,119.58243603850471,1279.09569,0.16346153846153846,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3769986.9579818593,
2019-04-07,127.98607144769348,119.95682004577345,1277.8782,0.16346153846153846,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3817617.873433304,
2019-04-14,129.50306168943158,120.47287852181735,1288.60121,0.23076923076923078,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3862867.2431121767,
